t,VarX_0.003,meanX_0.003,VarX_0.01,meanX_0.01,VarX_0.03,meanX_0.03,VarX_0.1,meanX_0.1,VarA1,meanA1
46,7.78322874008096e-09,8.73123585056531e-09,8.67252429866344e-08,2.7266200971814e-08,7.87369135884868e-07,6.47622117352852e-08,9.01683393310916e-06,1.16820304922113e-07,0.000863660177568463,2.95474314579104e-06
47,7.98874957538858e-09,1.28199623052497e-08,8.90134632780186e-08,4.10060596198015e-08,8.07905894111245e-07,1.06059345436171e-07,9.25329038621555e-06,2.6933640453211e-07,0.000886440249913144,4.30647317945307e-06
48,8.20258776619476e-09,1.78931383711843e-08,9.14037219952586e-08,5.80523615525722e-08,8.29877230335346e-07,1.58537399879089e-07,9.49913305867618e-06,4.53506500508181e-07,0.000910122159134385,5.9940742192043e-06
49,8.41983321453757e-09,2.0746688770418e-08,9.38297205563121e-08,6.73775900288688e-08,8.51892122560812e-07,1.85671275064762e-07,9.73845273160156e-06,5.63470790095952e-07,0.000934311558901399,6.94255510372816e-06
50,8.62268249714261e-09,2.37739452822501e-08,9.60915799761043e-08,7.75329382593852e-08,8.72577112022728e-07,2.15595570171601e-07,9.97493848106145e-06,6.58904650272599e-07,0.000956816645672524,7.94409644762288e-06
51,8.84012329811079e-09,2.3327798774465e-08,9.84973709645625e-08,7.60903836227683e-08,8.94145587372756e-07,2.11258193501206e-07,1.02126907597895e-05,6.33629231357853e-07,0.000980999275988024,7.79951744265625e-06
52,9.03930521671279e-09,2.29125975996952e-08,1.00735512966197e-07,7.4184309952349e-08,9.14287361496894e-07,2.03474557764392e-07,1.04345917761609e-05,5.93608244401185e-07,0.00100304088287596,7.67628552005712e-06
53,9.24615329888256e-09,2.48390711050566e-08,1.03054423807261e-07,8.04241218534181e-08,9.35597454594118e-07,2.20344107985674e-07,1.06744343467084e-05,6.3901308631156e-07,0.00102592131325226,8.31489213578458e-06
54,9.4758331008512e-09,2.57639425026084e-08,1.05608426220811e-07,8.34100443916046e-08,9.587993028055e-07,2.28330543491235e-07,1.09408473331835e-05,6.73745435550458e-07,0.00105143424805133,8.62729597698068e-06
55,9.66709096865029e-09,2.81548579702494e-08,1.07734828151251e-07,9.14277512652556e-08,9.78067859422835e-07,2.51660299722809e-07,1.11595071968319e-05,7.61620917638645e-07,0.00107267349691168,9.42506476678522e-06
56,9.84619375258071e-09,2.92294343219118e-08,1.09705395153146e-07,9.52121132333698e-08,9.95546472844134e-07,2.64842752082213e-07,1.13510143144648e-05,8.18417359083572e-07,0.00109265331528625,9.77466651022975e-06
57,1.00555440934638e-08,3.0103855704303e-08,1.12025684547395e-07,9.81104952071454e-08,1.01633186225476e-06,2.72320748757857e-07,1.15717705725612e-05,8.34633836628663e-07,0.00111593308841821,1.00660521429014e-05
58,1.02724147838284e-08,3.05932681463505e-08,1.14434550428322e-07,9.9746503109593e-08,1.03777523800794e-06,2.79117833655617e-07,1.18035105319662e-05,8.90661415652119e-07,0.00114004588957976,1.02241809068611e-05
59,1.04681571931358e-08,3.45735125430456e-08,1.16620818045177e-07,1.12934538455997e-07,1.05744968154819e-06,3.17453155651014e-07,1.20151037391969e-05,1.00706819420002e-06,0.00116172178979013,1.15487102992486e-05
60,1.06450253363063e-08,3.19326233287352e-08,1.18575954803251e-07,1.03993597546605e-07,1.07485592551219e-06,2.90203557039841e-07,1.22150102159852e-05,9.06728161601959e-07,0.00118141068859393,1.06743790655132e-05
61,1.0846259091643e-08,3.00271911763457e-08,1.20801400930276e-07,9.76397226047221e-08,1.09453562227379e-06,2.71490768514434e-07,1.24153941199067e-05,8.44785093997153e-07,0.00120382346903197,1.00305711197537e-05
62,1.10240166351406e-08,3.23341133917627e-08,1.22778425853524e-07,1.0544645696817e-07,1.11239581682074e-06,2.95107918896304e-07,1.26165087207546e-05,9.1296966481014e-07,0.00122356538423033,1.08010888552701e-05
63,1.11986512946474e-08,3.14316248685344e-08,1.24709216730558e-07,1.02582334582009e-07,1.12957979480645e-06,2.86411694407473e-07,1.28108587674277e-05,8.93643160527406e-07,0.00124299804718773,1.04940230785508e-05
