t,VarX_0.1,meanX_0.1,VarX_0.3,meanX_0.3,VarX_1,meanX_1,VarX_3,meanX_3,VarA1,meanA1
35,1.98638590019277e-05,-1.93138694711672e-06,0.000187573226393445,-6.17931919155365e-06,0.00248867368760944,-2.32334848248335e-05,0.0330275008793318,1.67634013841902e-05,0.00193866753564165,-1.81984617979209e-05
36,2.04901914531484e-05,-1.87884088011771e-06,0.000193591971200435,-6.13300510643333e-06,0.00256983504908302,-2.32160114555804e-05,0.0341572285127889,1.84231347936066e-05,0.00199941739881546,-1.75068420445196e-05
37,2.11188542024646e-05,-1.82818894059611e-06,0.000199647842310593,-5.89005119587272e-06,0.00264742723402408,-1.96640932264949e-05,0.03529896283083,1.81344061045186e-05,0.00205979193093652,-1.69746204289049e-05
38,2.17802696937672e-05,-1.89437046266763e-06,0.000205902875877124,-5.88902428120157e-06,0.00272884325697772,-1.85963874615964e-05,0.0364365195205905,1.60830923998285e-05,0.00212422190642335,-1.78821677645826e-05
39,2.24765520939155e-05,-1.82241373048783e-06,0.000212744890914134,-5.3828544727023e-06,0.00281752755034349,-1.66324809457757e-05,0.0375911924337021,2.29303304348123e-05,0.0021903109874892,-1.76763748591526e-05
40,2.31183750683787e-05,-2.14845411340113e-06,0.000219000237788692,-6.20573067678542e-06,0.00290136534454717,-1.74402606161507e-05,0.0387738902200928,2.49654848146186e-05,0.00225226418958821,-2.11296396476336e-05
41,2.37552709120603e-05,-2.00704454219641e-06,0.000225509359592541,-5.81805639705675e-06,0.00298718534763592,-1.5317433289415e-05,0.0400256375283205,2.2437080748757e-05,0.00231242381510235,-1.96151333599365e-05
42,2.44530854359331e-05,-1.81100895761903e-06,0.00023213073874751,-5.15678955674261e-06,0.00307254602721832,-1.12891694038351e-05,0.0412302452323014,1.61238040108744e-05,0.00237916136754437,-1.76305920676266e-05
43,2.50597261382947e-05,-1.4804894968957e-06,0.000237700449115293,-4.19585502952143e-06,0.00314690559687685,-8.68296692190493e-06,0.0423390282189855,1.0387680960358e-05,0.00243853740999757,-1.43699145293787e-05
44,2.56789897927245e-05,-1.48814304041564e-06,0.000243524892239049,-4.15112480619377e-06,0.00322944611647273,-8.76122747555717e-06,0.0435474165239556,1.66276278952041e-05,0.00249842175222637,-1.45349458861993e-05
45,2.63296887038924e-05,-1.36996793750009e-06,0.000249775755426833,-3.59169097254628e-06,0.00331870504750355,-6.11551778007445e-06,0.0447786199974732,1.76051894276498e-05,0.00256119208764791,-1.36257225894112e-05
46,2.69951483311636e-05,-1.13721608686901e-06,0.000256236765315316,-2.84115448109307e-06,0.00340546311040695,-6.32406863842813e-06,0.0461100035143563,1.86958160872665e-05,0.00262497295664552,-1.14878535994984e-05
47,2.76739328123017e-05,-1.2116007813885e-06,0.000262858046944683,-2.99222556830792e-06,0.00348870735440946,-7.20584050166976e-06,0.0472799348198409,2.35784477992243e-05,0.00268942940734869,-1.25177673466886e-05
48,2.83135277590161e-05,-1.16501569870429e-06,0.000268990932078442,-2.84132797600034e-06,0.00357480278470958,-7.75442421021626e-06,0.0484764288360555,3.77124991841078e-05,0.00275114175654383,-1.23065212402272e-05
49,2.89464904868804e-05,-1.28893146778739e-06,0.000274812310972903,-3.04848727438136e-06,0.0036573968937296,-8.17008870089814e-06,0.0496298116657552,3.35068407721558e-05,0.00281354527069137,-1.37914833847683e-05
50,2.95916626662174e-05,-1.1901300373591e-06,0.000280739722084459,-2.62232825389195e-06,0.00373621687947535,-6.92128023280172e-06,0.0509049093452957,4.35816822668602e-05,0.0028773455065459,-1.29167846916975e-05
51,3.02493023871336e-05,-1.25713079000352e-06,0.000286855538482677,-2.55219524132969e-06,0.00381689235537743,-4.98803862821184e-06,0.052182779164786,4.41505069145682e-05,0.00294210364669692,-1.38211972667783e-05
52,3.09619761851279e-05,-1.51449525823091e-06,0.000293623710881141,-3.28494890267105e-06,0.00390254122557034,-8.9745321299767e-06,0.0534329989435121,4.22172652576552e-05,0.00301147129541332,-1.64620801216483e-05
53,3.16146648122708e-05,-1.36229435693523e-06,0.000299678128287595,-2.87034940301968e-06,0.00398371956906321,-1.04330871010507e-05,0.0547586380590417,6.8784504125967e-05,0.00307663950151842,-1.49732237318486e-05
54,3.22140479092463e-05,-1.35183871632487e-06,0.000305309067692641,-2.91863430779373e-06,0.00405324574864364,-1.25169181462798e-05,0.0559712866209701,9.61590504232166e-05,0.00313589708167372,-1.47315633388108e-05
55,3.27894608619774e-05,-1.36781266061518e-06,0.000310981375828323,-2.93239733830848e-06,0.0041234642314299,-1.28633989988847e-05,0.0573240539779828,0.000106836400575121,0.00319084190562079,-1.49151775352866e-05
56,3.33846746602198e-05,-1.1735507367571e-06,0.000316773556861459,-2.41253403676008e-06,0.00420017266235021,-1.27108820077218e-05,0.058751094632988,0.000131358025252437,0.00324890075086224,-1.30402428998295e-05
57,3.40084447667335e-05,-1.05828446638469e-06,0.000322859415677142,-2.20187254472884e-06,0.00428673469738741,-1.35164107454367e-05,0.0599343609224493,0.000140264626184774,0.00330979917748534,-1.16062333770395e-05
58,3.46200926612381e-05,-1.33858750071724e-06,0.000328776699212344,-3.21819927404817e-06,0.00437282411118809,-1.77141724196124e-05,0.061128438636984,0.00014414211648598,0.00336929498009164,-1.3979759648321e-05
59,3.52304648600796e-05,-1.79495249086225e-06,0.00033489111402979,-4.42611006384211e-06,0.00446190730027854,-1.79388881285306e-05,0.0624880688306845,0.000129521242271448,0.00342684156926678,-1.84781690128205e-05
60,3.58961925896568e-05,-2.04679260080123e-06,0.000341379194929441,-5.06617021413282e-06,0.00454882761366384,-1.82122798620898e-05,0.0637825827914491,0.000134564325054028,0.00349005033364579,-2.12505745194587e-05
61,3.65546808028371e-05,-2.02968267443121e-06,0.000347529974489311,-4.77523271406418e-06,0.00463770638417694,-1.26471343951528e-05,0.0650666804230532,0.00013612532510684,0.00355378621661808,-2.14545841396892e-05
62,3.72509636070782e-05,-1.72801723616171e-06,0.00035413309284915,-4.00082306748668e-06,0.00471773561816694,-1.08456366369974e-05,0.066310957469374,0.000140826353055672,0.00362129043490477,-1.82866766433228e-05
63,3.79405593765946e-05,-1.58649036063174e-06,0.000360549241137947,-3.47370666760275e-06,0.00479489590883351,-6.51872434152069e-06,0.067432689543961,0.000139382801993127,0.00368708915939115,-1.68919777810856e-05
64,3.86320866955558e-05,-1.52069042008936e-06,0.000366871131031392,-3.27688431249904e-06,0.00487216013411026,-7.21505003035333e-06,0.0684866427744328,0.000121459529110282,0.00375496473658824,-1.60690345782562e-05
65,3.92833019697932e-05,-1.09942880590429e-06,0.00037294671143825,-1.78793882764529e-06,0.00495161628988889,-5.38241532112764e-06,0.0697755348656885,0.000126856327644661,0.00381976771713861,-1.23080101141201e-05
66,3.99906861067839e-05,-1.07883647839414e-06,0.000379344379952829,-1.78521452044105e-06,0.00502811597655539,-6.24534784233108e-06,0.0710745329962581,0.000150739959616521,0.00388983325156747,-1.21832344333027e-05
67,4.06355902108091e-05,-7.01090728026566e-07,0.000385775951439427,-7.38275178227991e-07,0.0051111777803857,-7.02530770533429e-07,0.0723564400453671,0.00016474457494032,0.00395057692132967,-8.21576931600444e-06
68,4.12732705105432e-05,-6.34039342877808e-07,0.000392108396358887,-3.1475599282432e-07,0.00519461124038271,2.50199439583583e-06,0.0735431305959833,0.000177284274031837,0.00401150142207149,-7.75432467575628e-06
69,4.18893784849341e-05,-6.56821638722923e-07,0.000398255145639395,-5.17278572769722e-08,0.00527799826387852,4.31622412750711e-06,0.0747586723751858,0.000179457237013076,0.00406909081750202,-8.42704634199363e-06
70,4.24570625680696e-05,-3.92040551786771e-07,0.000403898765194934,9.19761353614423e-07,0.00536265236168621,8.14966249452762e-06,0.0761293316966641,0.000167288932124152,0.00412274080774405,-6.01173300081478e-06
71,4.30590313887849e-05,-2.97587452796361e-07,0.000409831168096867,1.15134059675084e-06,0.00544001669205562,7.01471377471753e-06,0.0773934048162236,0.000169674772719214,0.00418051903023573,-4.92963067435797e-06
72,4.36509394844433e-05,-2.50197172851907e-07,0.000415537551768849,1.06254244100558e-06,0.0055200425706552,2.66905698342609e-06,0.0787073378949793,0.000153747228017579,0.00423814713014649,-4.25339085531998e-06
73,4.42685796542071e-05,-2.62962746234928e-07,0.0004210629695131,1.16508931534055e-06,0.00560681849657091,3.30276867293241e-06,0.0800224475666243,0.000172658443409838,0.00430035049475193,-4.56933109194446e-06
74,4.49364208397662e-05,-1.91848771232531e-07,0.000427136458105693,1.27197765591776e-06,0.00568072929758561,7.37661309155067e-06,0.0812343165583529,0.000204694684744237,0.00436555242282893,-3.56477773416071e-06
75,4.55720928007726e-05,-2.75661206311784e-08,0.000433126042780728,1.66238370274351e-06,0.00576367709758118,1.02111013926855e-05,0.0824681311755484,0.000240972969954068,0.00442838796631183,-1.67898197783746e-06
76,4.62837300523641e-05,4.9669137665925e-07,0.000440006372481013,3.16282018485953e-06,0.00585113167030883,1.66858821604046e-05,0.0838036515327381,0.000266728619193484,0.00449712752092065,3.62492823440423e-06
77,4.69404662596896e-05,3.87423167169443e-07,0.000446355296106386,2.88458997017139e-06,0.00594612688601341,1.85156521436596e-05,0.0850980576916545,0.000265551226388057,0.00456043901258299,2.61203639779032e-06
